id,SPCapacityAvailable,temperature,windspeed,visibility,hour,weekday,weather_Clear,weather_Fog,weather_Ice Pellets,weather_Mostly Cloudy,weather_Overcast,weather_Partly Cloudy,weather_Rain,weather_Snow,weather_Thunderstorm
0,43,8,1,10,22.5,2,0,0,0,0,1,0,0,0,0
1,43,8,3,5,23.0,2,0,0,0,0,0,0,1,0,0
2,43,8,5,13,23.5,2,0,0,0,0,1,0,0,0,0
3,43,8,11,13,0.0,3,0,0,0,0,1,0,0,0,0
4,43,8,1,16,1.0,3,0,0,0,1,0,0,0,0,0
5,43,8,6,16,1.5,3,0,0,0,1,0,0,0,0,0
6,43,8,5,16,2.0,3,0,0,0,1,0,0,0,0,0
7,43,8,3,16,2.5,3,0,0,0,1,0,0,0,0,0
8,43,8,3,16,3.0,3,0,0,0,1,0,0,0,0,0
9,43,8,1,16,3.5,3,0,0,0,0,0,1,0,0,0
10,43,8,3,16,4.0,3,0,0,0,0,0,1,0,0,0
11,43,7,5,16,4.5,3,0,0,0,0,0,1,0,0,0
12,43,7,1,16,5.0,3,0,0,0,0,0,1,0,0,0
13,43,7,0,14,5.5,3,0,0,0,0,0,1,0,0,0
14,43,7,3,14,6.0,3,0,0,0,0,0,1,0,0,0
15,43,7,5,14,6.5,3,0,0,0,0,0,1,0,0,0
16,43,7,5,16,7.0,3,0,0,0,1,0,0,0,0,0
17,43,7,0,13,7.5,3,0,0,0,1,0,0,0,0,0
18,42,7,6,13,8.0,3,0,0,0,1,0,0,0,0,0
19,36,7,1,14,8.5,3,0,0,0,0,0,1,0,0,0
20,26,7,3,14,9.0,3,0,0,0,1,0,0,0,0,0
21,20,7,1,14,9.5,3,0,0,0,0,0,1,0,0,0
22,15,8,1,14,10.0,3,0,0,0,0,0,1,0,0,0
23,13,8,10,14,10.5,3,0,0,0,1,0,0,0,0,0
24,14,9,5,14,11.0,3,0,0,0,1,0,0,0,0,0
25,12,9,6,16,11.5,3,0,0,0,1,0,0,0,0,0
26,9,9,1,16,12.0,3,0,0,0,0,1,0,0,0,0
27,7,9,5,16,12.5,3,0,0,0,1,0,0,0,0,0
28,5,9,10,16,13.0,3,0,0,0,0,1,0,0,0,0
29,3,10,5,14,13.5,3,0,0,0,1,0,0,0,0,0
30,1,10,1,14,14.0,3,0,0,0,1,0,0,0,0,0
31,2,10,3,16,14.5,3,0,0,0,1,0,0,0,0,0
32,5,10,3,16,15.0,3,0,0,0,0,1,0,0,0,0
33,5,10,5,16,15.5,3,0,0,0,1,0,0,0,0,0
34,6,9,3,16,16.0,3,0,0,0,0,1,0,0,0,0
35,13,9,0,16,16.5,3,0,0,0,0,1,0,0,0,0
36,22,9,5,16,17.0,3,0,0,0,0,1,0,0,0,0
37,27,9,0,16,17.5,3,0,0,0,1,0,0,0,0,0
