LastModified,Name,Available,Capacity,Open
2018-10-24 23:38:00,P01 Vrijdagmarkt,430,647,True
2018-10-24 23:38:00,P08 Ramen,147,266,True
2018-10-24 23:38:00,P02 Reep,383,470,True
2018-10-24 23:34:00,P10 Sint-Pietersplein,575,708,True
2018-10-24 23:43:00,P01 Vrijdagmarkt,433,647,True
2018-10-24 23:38:00,P07 Sint-Michiels,284,450,True
2018-10-24 23:44:00,P10 Sint-Pietersplein,574,708,True
2018-10-24 23:44:00,P01 Vrijdagmarkt,434,647,True
2018-10-24 23:39:00,P04 Savaanstraat,521,540,True
2018-10-24 23:42:00,P08 Ramen,148,266,True
2018-10-24 23:43:00,P02 Reep,386,470,True
2018-10-25 00:14:00,P07 Sint-Michiels,304,450,True
2018-10-25 00:12:00,P10 Sint-Pietersplein,578,708,True
2018-10-25 00:14:00,P01 Vrijdagmarkt,456,647,True
2018-10-25 00:10:00,P04 Savaanstraat,535,540,True
2018-10-25 00:01:00,P08 Ramen,155,266,True
2018-10-25 00:10:00,P02 Reep,389,470,True
2018-10-25 00:26:00,P07 Sint-Michiels,307,450,True
2018-10-25 00:25:00,P10 Sint-Pietersplein,584,708,True
2018-10-25 00:27:00,P01 Vrijdagmarkt,466,647,True
2018-10-25 00:22:00,P04 Savaanstraat,537,540,True
2018-10-25 00:24:00,P08 Ramen,155,266,True
2018-10-25 00:25:00,P02 Reep,391,470,True
2018-10-25 00:40:00,P07 Sint-Michiels,310,450,True
2018-10-25 00:44:00,P01 Vrijdagmarkt,471,647,True
2018-10-25 00:40:00,P04 Savaanstraat,539,540,True
2018-10-25 00:44:00,P08 Ramen,161,266,True
2018-10-25 00:50:00,P07 Sint-Michiels,313,450,True
2018-10-25 00:43:00,P10 Sint-Pietersplein,589,708,True
2018-10-25 00:58:00,P01 Vrijdagmarkt,474,647,True
2018-10-25 00:59:00,P08 Ramen,162,266,True
2018-10-25 00:41:00,P02 Reep,391,470,True
2018-10-25 01:06:00,P07 Sint-Michiels,320,450,True
2018-10-25 01:11:00,P10 Sint-Pietersplein,592,708,True
2018-10-25 01:10:00,P01 Vrijdagmarkt,480,647,True
2018-10-25 01:14:00,P02 Reep,392,470,True
2018-10-25 01:21:00,P07 Sint-Michiels,321,450,True
2018-10-25 01:26:00,P10 Sint-Pietersplein,595,708,True
2018-10-25 01:17:00,P01 Vrijdagmarkt,480,647,True
2018-10-25 01:13:00,P08 Ramen,165,266,True
2018-10-25 01:40:00,P10 Sint-Pietersplein,595,708,True
2018-10-25 01:41:00,P01 Vrijdagmarkt,482,647,True
2018-10-25 01:19:00,P02 Reep,395,470,True
2018-10-25 01:46:00,P10 Sint-Pietersplein,596,708,True
2018-10-25 01:54:00,P01 Vrijdagmarkt,484,647,True
2018-10-25 01:55:00,P02 Reep,396,470,True
2018-10-25 01:37:00,P07 Sint-Michiels,322,450,True
2018-10-25 02:12:00,P01 Vrijdagmarkt,485,647,True
2018-10-25 02:18:00,P07 Sint-Michiels,323,450,True
2018-10-25 02:06:00,P10 Sint-Pietersplein,597,708,True
2018-10-25 02:48:00,P07 Sint-Michiels,324,450,True
2018-10-25 02:55:00,P10 Sint-Pietersplein,599,708,True
2018-10-25 03:10:00,P10 Sint-Pietersplein,600,708,True
2018-10-25 01:33:00,P08 Ramen,167,266,True
2018-10-25 03:18:00,P10 Sint-Pietersplein,601,708,True
2018-10-25 03:19:00,P08 Ramen,168,266,True
